,Unnamed: 0,Winner,Reach (inches) Differential,Height (inches) Differential,Significant Strikes Landed per Minute Differential,Significant Striking Accuracy Differential,Significant Strikes Absorbed per Minute Differential,Significant Strike Defence (the percentage of opponents strikes that did not land) Differential,Average Takedowns Landed per 15 minutes Differential,Takedown Accuracy Differential,Takedown Defense (the percentage of opponents TD attempts that did not land) Differential,Average Submissions Attempted per 15 minutes
4189,4189,1,-2.0,-1.0,-1.2000000000000002,0.16999999999999998,-2.6699999999999995,0.050000000000000044,1.13,-0.47000000000000003,-0.13,0.2
4190,4190,0,3.0,1.0,-2.59,-0.14,0.5100000000000007,0.06999999999999995,-0.75,-0.10000000000000003,0.08000000000000007,0.0
4191,4191,1,-1.0,2.0,0.10999999999999988,-0.08999999999999997,0.8599999999999999,-0.10999999999999999,0.5700000000000001,0.030000000000000027,-0.42000000000000004,-0.4
4192,4192,1,2.0,2.0,-0.43000000000000016,0.08000000000000002,-0.2799999999999998,0.10999999999999993,0.11000000000000032,-0.13,0.010000000000000009,1.7
4193,4193,0,-1.0,3.0,-0.9100000000000001,0.07,-0.6299999999999999,-0.10999999999999993,0.9499999999999997,0.10999999999999999,-0.48999999999999994,2.4
4194,4194,0,4.0,1.0,0.0900000000000003,-0.06,-2.19,-0.06000000000000005,0.7500000000000001,0.37,0.08000000000000007,-1.7
4195,4195,1,0.0,-1.0,0.9100000000000006,-0.020000000000000018,-1.2399999999999998,0.010000000000000009,1.21,0.14,-0.22999999999999998,-0.1
4196,4196,1,-1.0,-3.0,0.010000000000000231,0.12,-1.73,0.019999999999999907,0.78,0.030000000000000027,-0.29000000000000004,0.2
4197,4197,1,-1.0,-1.0,1.34,0.10999999999999999,-1.9800000000000004,0.0,1.6799999999999997,-0.010000000000000009,0.27,-0.3
4198,4198,0,2.0,2.0,-0.23000000000000043,0.10999999999999999,-0.029999999999999805,-0.12,-0.3500000000000001,-0.14,0.020000000000000018,0.7
4199,4199,1,1.0,2.0,1.2600000000000002,-0.07,0.020000000000000018,0.05999999999999994,1.2799999999999998,0.12,0.25,-0.7000000000000001
4200,4200,1,-2.0,3.0,4.03,0.0,1.8899999999999997,0.020000000000000018,-1.59,0.2,0.36999999999999994,-0.6000000000000001
4201,4201,1,3.0,2.0,-0.5800000000000001,0.009999999999999953,-0.6499999999999999,-0.020000000000000018,-0.16999999999999993,0.040000000000000036,-0.20000000000000007,-0.2
4202,4202,1,1.0,-1.0,-1.13,-0.030000000000000027,0.6000000000000001,-0.09999999999999998,0.010000000000000009,-0.030000000000000027,-0.09999999999999998,1.0
4203,4203,1,-1.0,1.0,1.4500000000000002,0.03999999999999998,3.59,-0.12,-2.0300000000000002,-0.08999999999999997,-0.10999999999999999,0.5000000000000001
4204,4204,1,-4.0,-5.0,-0.3500000000000001,0.08999999999999997,-0.6600000000000001,-0.030000000000000027,1.64,0.010000000000000009,0.2300000000000001,0.20000000000000007
4205,4205,0,5.0,4.0,-3.8100000000000005,-0.16999999999999998,-0.45999999999999996,-0.09000000000000002,-0.94,-0.36000000000000004,-0.36,0.2
4206,4206,0,0.0,3.0,-1.21,-0.15999999999999998,0.79,-0.030000000000000027,0.05999999999999994,-0.32000000000000006,-0.26,1.1
4207,4207,1,3.0,-2.0,2.67,-0.08000000000000002,1.6700000000000004,0.010000000000000009,0.78,0.64,0.07000000000000006,-0.9000000000000001
4208,4208,0,-1.0,-1.0,-0.9700000000000002,-0.12,0.3700000000000001,0.16000000000000003,0.12,0.86,0.5800000000000001,-0.2
4209,4209,0,5.0,-1.0,-1.1400000000000001,0.13,-0.5099999999999998,0.08000000000000002,0.79,0.22,-0.54,0.4
4210,4210,1,1.0,0.0,3.16,-0.03999999999999998,1.42,0.04999999999999993,-1.27,-0.53,0.13,0.0
4211,4211,0,5.0,-1.0,1.8599999999999999,0.02999999999999997,1.17,0.010000000000000009,-0.86,-0.2,-0.050000000000000044,0.0
4212,4212,0,-1.0,-3.0,0.6099999999999999,-0.040000000000000036,0.8500000000000001,-0.010000000000000009,0.33000000000000007,0.02999999999999997,0.26,0.09999999999999998
4213,4213,0,-1.0,1.0,0.25,0.06,0.8900000000000001,0.0,-2.01,-0.12,0.20999999999999996,-0.8
4214,4214,1,-2.0,1.0,0.5899999999999999,-0.010000000000000009,0.009999999999999787,-0.019999999999999907,-0.6799999999999999,-0.36000000000000004,0.06999999999999995,0.3
4215,4215,0,2.0,0.0,0.52,0.009999999999999953,0.3099999999999996,0.010000000000000009,1.1099999999999999,0.16999999999999998,-0.07000000000000006,0.19999999999999998
4216,4216,0,2.0,-1.0,-1.0100000000000002,-0.010000000000000009,-0.31000000000000005,0.030000000000000027,2.2399999999999998,0.07999999999999996,0.07999999999999996,0.09999999999999998
4217,4217,1,0.0,0.0,-1.6,0.09000000000000002,-2.2700000000000005,-0.08000000000000007,3.8,0.25,-0.06999999999999995,0.0
4218,4218,1,-2.0,-2.0,1.0899999999999999,0.06,-0.009999999999999787,0.0,0.7300000000000002,0.10000000000000003,0.2,-0.7999999999999999
4219,4219,1,0.0,-2.0,-1.6600000000000001,-0.16999999999999998,-0.3700000000000001,-0.08000000000000007,-0.3400000000000001,0.13999999999999996,-0.009999999999999898,1.0
4220,4220,0,3.0,-1.0,1.8800000000000003,0.18,-1.4,0.039999999999999925,-0.06000000000000005,0.03999999999999998,-0.38000000000000006,-0.10000000000000009
4221,4221,0,4.0,0.0,0.22999999999999998,-0.010000000000000009,1.58,0.0,2.02,0.3,-0.31,1.0
4222,4222,0,-3.0,0.0,-1.08,0.0,-1.3699999999999997,0.030000000000000027,0.010000000000000009,-0.030000000000000027,-0.34,1.2
4223,4223,1,-2.0,1.0,0.9399999999999997,0.009999999999999953,0.0,0.12,1.5499999999999998,-0.20999999999999996,0.039999999999999925,0.7000000000000001
4224,4224,1,2.0,-1.0,-0.27999999999999936,0.12,-6.16,0.13,0.66,0.55,0.31999999999999995,0.4
4225,4225,1,-3.0,-2.0,-0.8599999999999999,0.03999999999999998,0.5699999999999998,-0.04999999999999993,-2.88,-0.020000000000000018,-0.33999999999999997,0.7
4226,4226,0,0.0,-1.0,-2.3099999999999996,0.0,-0.6399999999999997,0.06,1.0899999999999999,0.28,0.12,0.5
