,Winner,Loser,Red,Blue,Knockdowns (R),Knockdowns (B),Significant Strikes (R),Significant Strikes (B),Significant Strikes Percentage (R),Significant Strikes Percentage (B),Total Strikes (R),Total Strikes (B),Takedowns (R),Takedowns (B),Takedowns Percentage (R),Takedowns Percentage (B),Submission Attempts (R),Submission Attempts (B),Reversals (R),Reversals (B),Control Time (seconds) (R),Control Time (seconds) (B)
4340,0,1,Olivier Aubin-Mercier,Diego Ferreira,0.0,0.0,49.0,65.0,0.52,0.42,55.0,130.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,57.0,243.0
4341,1,0,Rafael Natal,Kevin Casey,1.0,0.0,54.0,16.0,0.62,0.32,123.0,30.0,4.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,332.0,130.0
4342,0,1,Dustin Ortiz,Wilson Reis,0.0,0.0,45.0,48.0,0.34,0.38,64.0,96.0,1.0,9.0,0.16,0.39,0.0,0.0,0.0,0.0,15.0,411.0
4343,0,1,George Sullivan,Alexander Yakovlev,0.0,1.0,14.0,15.0,0.63,0.83,19.0,17.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,102.0,0.0
4344,1,0,Alex Caceres,Masio Fullen,0.0,0.0,74.0,36.0,0.51,0.33,80.0,38.0,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,107.0,5.0
4345,0,1,Matt Dwyer,Randy Brown,0.0,0.0,46.0,48.0,0.47,0.44,50.0,61.0,1.0,1.0,0.12,0.25,0.0,1.0,0.0,0.0,172.0,209.0
4346,0,1,Damon Jackson,Levan Makashvili,0.0,0.0,44.0,65.0,0.33,0.57,85.0,102.0,0.0,2.0,0.0,0.4,0.0,0.0,0.0,0.0,399.0,121.0
4347,0,1,TJ Dillashaw,Dominick Cruz,0.0,0.0,109.0,112.0,0.26,0.37,130.0,122.0,1.0,4.0,0.12,0.36,0.0,0.0,0.0,0.0,72.0,33.0
4348,0,1,Anthony Pettis,Eddie Alvarez,0.0,0.0,56.0,42.0,0.51,0.46,109.0,74.0,0.0,6.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,458.0
4349,1,0,Travis Browne,Matt Mitrione,0.0,1.0,51.0,27.0,0.44,0.44,61.0,28.0,2.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,166.0,0.0
4350,0,1,Ross Pearson,Francisco Trinaldo,0.0,0.0,28.0,51.0,0.32,0.45,32.0,53.0,2.0,1.0,1.0,0.33,0.0,0.0,0.0,0.0,62.0,65.0
4351,1,0,Patrick Cote,Ben Saunders,1.0,0.0,42.0,11.0,0.66,0.4,55.0,44.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,90.0,94.0
4352,0,1,Tim Boetsch,Ed Herman,0.0,1.0,27.0,47.0,0.42,0.57,32.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0
4353,0,1,Maximo Blanco,Luke Sanders,0.0,1.0,16.0,26.0,0.41,0.54,17.0,27.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,29.0,12.0
4354,1,0,Paul Felder,Daron Cruickshank,0.0,0.0,46.0,32.0,0.52,0.55,69.0,54.0,2.0,3.0,0.5,0.37,3.0,0.0,0.0,0.0,372.0,177.0
4355,1,0,Ilir Latifi,Sean O'Connell,1.0,0.0,2.0,1.0,0.66,0.33,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4356,1,0,Charles Rosa,Kyle Bochniak,0.0,1.0,92.0,52.0,0.39,0.4,95.0,53.0,1.0,1.0,0.12,0.2,0.0,0.0,0.0,0.0,63.0,44.0
4357,1,0,Rob Font,Joey Gomez,1.0,0.0,52.0,15.0,0.47,0.21,56.0,19.0,1.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,66.0,24.0
4358,1,0,Francimar Barroso,Elvis Mutapcic,0.0,0.0,57.0,38.0,0.6,0.31,90.0,65.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,194.0,0.0
4359,1,0,Robbie Lawler,Carlos Condit,1.0,0.0,92.0,176.0,0.51,0.35,93.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,10.0
4360,1,0,Stipe Miocic,Andrei Arlovski,1.0,0.0,11.0,7.0,0.73,0.58,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
4361,0,1,Lorenz Larkin,Albert Tumenov,0.0,0.0,69.0,76.0,0.44,0.39,69.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0
4362,0,1,Diego Brandao,Brian Ortega,0.0,0.0,56.0,29.0,0.51,0.26,61.0,33.0,2.0,0.0,0.66,0.0,0.0,2.0,0.0,0.0,20.0,103.0
4363,1,0,Abel Trujillo,Tony Sims,0.0,0.0,4.0,5.0,0.36,0.41,4.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,12.0
4364,1,0,Michael McDonald,Masanori Kanehara,0.0,0.0,5.0,15.0,0.38,0.88,6.0,77.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,12.0,350.0
